fecha_chart,fecha_debut,titulo,artista,colaboracion,exitos_previos_artista,ranking
2013-01-05,2013-01-05,Crying On A Suitcase,Casey James,0,0,100
2013-01-05,2013-01-05,Don't Stop The Party,Pitbull & TJR,1,0,27
2013-01-05,2013-01-05,Too Close,Alex Clare,0,0,28
2013-01-05,2013-01-05,We Are Never Ever Getting Back Together,Taylor Swift,0,0,29
2013-01-05,2013-01-05,Catch My Breath,Kelly Clarkson,0,0,30
2013-01-05,2013-01-05,Va Va Voom,Nicki Minaj,0,0,31
2013-01-05,2013-01-05,Little Talks,Of Monsters & Men,1,0,32
2013-01-05,2013-01-05,I'm Different,2 Chainz,0,0,33
2013-01-05,2013-01-05,No Worries,Lil Wayne & Detail,1,0,34
2013-01-05,2013-01-05,As Long As You Love Me,Justin Bieber & Big Sean,1,0,35
2013-01-05,2013-01-05,Wanted,Hunter Hayes,0,0,36
2013-01-05,2013-01-05,Hall Of Fame,The Script & will.i.am,1,0,37
2013-01-05,2013-01-05,Bandz A Make Her Dance,Juicy J & Lil Wayne & 2 Chainz,1,0,38
2013-01-05,2013-01-05,I Will Wait,Mumford & Sons,1,0,39
2013-01-05,2013-01-05,Thinkin Bout You,Frank Ocean,0,0,40
2013-01-05,2013-01-05,Little Things,One Direction,0,0,41
2013-01-05,2013-01-05,Don't Wake Me Up,Chris Brown,0,0,42
2013-01-05,2013-01-05,Call Me Maybe,Carly Rae Jepsen,0,0,43
2013-01-05,2013-01-05,Better Dig Two,The Band Perry,0,0,44
2013-01-05,2013-01-05,Lights,Ellie Goulding,0,0,45
2013-01-05,2013-01-05,Daylight,Maroon 5,0,0,46
2013-01-05,2013-01-05,Blow Me (One Last Kiss),P!nk,0,0,47
2013-01-05,2013-01-05,Sweet Nothing,Calvin Harris & Florence Welch,1,0,26
2013-01-05,2013-01-05,Adorn,Miguel,0,0,25
2013-01-05,2013-01-05,F**kin Problems,"A$AP Rocky & Drake, 2 Chainz & Kendrick Lamar",1,0,24
2013-01-05,2013-01-05,Clique,Kanye West & Jay-Z & Big Sean,1,0,23
2013-01-05,2013-01-05,Locked Out Of Heaven,Bruno Mars,0,0,1
2013-01-05,2013-01-05,Diamonds,Rihanna,0,0,2
2013-01-05,2013-01-05,Ho Hey,The Lumineers,0,0,3
2013-01-05,2013-01-05,I Knew You Were Trouble.,Taylor Swift,0,0,4
2013-01-05,2013-01-05,Beauty And A Beat,Justin Bieber & Nicki Minaj,1,0,5
2013-01-05,2013-01-05,Die Young,Ke$ha,0,0,6
2013-01-05,2013-01-05,One More Night,Maroon 5,0,0,7
2013-01-05,2013-01-05,I Cry,Flo Rida,0,0,8
2013-01-05,2013-01-05,Home,Phillip Phillips,0,0,9
2013-01-05,2013-01-05,Thrift Shop,Macklemore & Ryan Lewis & Wanz,1,0,10
2013-01-05,2013-01-05,Anything Could Happen,Ellie Goulding,0,0,48
2013-01-05,2013-01-05,Don't You Worry Child,Swedish House Mafia & John Martin,1,0,11
2013-01-05,2013-01-05,Try,P!nk,0,0,13
2013-01-05,2013-01-05,Some Nights,fun.,0,0,14
2013-01-05,2013-01-05,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,0,0,15
2013-01-05,2013-01-05,Girl On Fire,Alicia Keys & Nicki Minaj,1,0,16
2013-01-05,2013-01-05,The A Team,Ed Sheeran,0,0,17
2013-01-05,2013-01-05,It's Time,Imagine Dragons,0,0,18
2013-01-05,2013-01-05,Gangnam Style,PSY,0,0,19
2013-01-05,2013-01-05,Swimming Pools (Drank),Kendrick Lamar,0,0,20
2013-01-05,2013-01-05,All I Want For Christmas Is You,Mariah Carey,0,0,21
2013-01-05,2013-01-05,Cruise,Florida Georgia Line & Nelly,1,0,22
2013-01-05,2013-01-05,Scream & Shout,will.i.am & Britney Spears,1,0,12
2013-01-05,2013-01-05,Somebody That I Used To Know,Gotye & Kimbra,1,0,49
2013-01-05,2013-01-05,C'mon,Ke$ha,0,0,99
2013-01-05,2013-01-05,Goodbye In Her Eyes,Zac Brown Band,0,0,51
2013-01-05,2013-01-05,Guap,Big Sean,0,0,78
2013-01-05,2013-01-05,Rest Of My Life,Ludacris & Usher & David Guetta,1,0,79
2013-01-05,2013-01-05,El Cerrito Place,Kenny Chesney,0,0,80
