fecha_chart,fecha_debut,titulo,artista,colaboracion,exitos_previos_artista,ranking,es_navidena
2013-01-05,2013-01-05,Crying On A Suitcase,Casey James,0,0,100,0
2013-01-05,2013-01-05,Don't Stop The Party,Pitbull & TJR,1,0,27,0
2013-01-05,2013-01-05,Too Close,Alex Clare,0,0,28,0
2013-01-05,2013-01-05,We Are Never Ever Getting Back Together,Taylor Swift,0,0,29,0
2013-01-05,2013-01-05,Catch My Breath,Kelly Clarkson,0,0,30,0
2013-01-05,2013-01-05,Va Va Voom,Nicki Minaj,0,0,31,0
2013-01-05,2013-01-05,Little Talks,Of Monsters & Men,1,0,32,0
2013-01-05,2013-01-05,I'm Different,2 Chainz,0,0,33,0
2013-01-05,2013-01-05,No Worries,Lil Wayne & Detail,1,0,34,0
2013-01-05,2013-01-05,As Long As You Love Me,Justin Bieber & Big Sean,1,0,35,0
2013-01-05,2013-01-05,Wanted,Hunter Hayes,0,0,36,0
2013-01-05,2013-01-05,Hall Of Fame,The Script & will.i.am,1,0,37,0
2013-01-05,2013-01-05,Bandz A Make Her Dance,Juicy J & Lil Wayne & 2 Chainz,1,0,38,0
2013-01-05,2013-01-05,I Will Wait,Mumford & Sons,1,0,39,0
2013-01-05,2013-01-05,Thinkin Bout You,Frank Ocean,0,0,40,0
2013-01-05,2013-01-05,Little Things,One Direction,0,0,41,0
2013-01-05,2013-01-05,Don't Wake Me Up,Chris Brown,0,0,42,0
2013-01-05,2013-01-05,Call Me Maybe,Carly Rae Jepsen,0,0,43,0
2013-01-05,2013-01-05,Better Dig Two,The Band Perry,0,0,44,0
2013-01-05,2013-01-05,Lights,Ellie Goulding,0,0,45,0
2013-01-05,2013-01-05,Daylight,Maroon 5,0,0,46,0
2013-01-05,2013-01-05,Blow Me (One Last Kiss),P!nk,0,0,47,0
2013-01-05,2013-01-05,Sweet Nothing,Calvin Harris & Florence Welch,1,0,26,0
2013-01-05,2013-01-05,Adorn,Miguel,0,0,25,0
2013-01-05,2013-01-05,F**kin Problems,"A$AP Rocky & Drake, 2 Chainz & Kendrick Lamar",1,0,24,0
2013-01-05,2013-01-05,Clique,Kanye West & Jay-Z & Big Sean,1,0,23,0
2013-01-05,2013-01-05,Locked Out Of Heaven,Bruno Mars,0,0,1,0
2013-01-05,2013-01-05,Diamonds,Rihanna,0,0,2,0
2013-01-05,2013-01-05,Ho Hey,The Lumineers,0,0,3,0
2013-01-05,2013-01-05,I Knew You Were Trouble.,Taylor Swift,0,0,4,0
2013-01-05,2013-01-05,Beauty And A Beat,Justin Bieber & Nicki Minaj,1,0,5,0
2013-01-05,2013-01-05,Die Young,Ke$ha,0,0,6,0
2013-01-05,2013-01-05,One More Night,Maroon 5,0,0,7,0
2013-01-05,2013-01-05,I Cry,Flo Rida,0,0,8,0
2013-01-05,2013-01-05,Home,Phillip Phillips,0,0,9,0
2013-01-05,2013-01-05,Thrift Shop,Macklemore & Ryan Lewis & Wanz,1,0,10,0
2013-01-05,2013-01-05,Anything Could Happen,Ellie Goulding,0,0,48,0
2013-01-05,2013-01-05,Don't You Worry Child,Swedish House Mafia & John Martin,1,0,11,0
2013-01-05,2013-01-05,Try,P!nk,0,0,13,0
2013-01-05,2013-01-05,Some Nights,fun.,0,0,14,0
2013-01-05,2013-01-05,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,0,0,15,0
2013-01-05,2013-01-05,Girl On Fire,Alicia Keys & Nicki Minaj,1,0,16,0
2013-01-05,2013-01-05,The A Team,Ed Sheeran,0,0,17,0
2013-01-05,2013-01-05,It's Time,Imagine Dragons,0,0,18,0
2013-01-05,2013-01-05,Gangnam Style,PSY,0,0,19,0
2013-01-05,2013-01-05,Swimming Pools (Drank),Kendrick Lamar,0,0,20,0
2013-01-05,2013-01-05,All I Want For Christmas Is You,Mariah Carey,0,0,21,0
2013-01-05,2013-01-05,Cruise,Florida Georgia Line & Nelly,1,0,22,0
2013-01-05,2013-01-05,Scream & Shout,will.i.am & Britney Spears,1,0,12,0
2013-01-05,2013-01-05,Somebody That I Used To Know,Gotye & Kimbra,1,0,49,0
2013-01-05,2013-01-05,C'mon,Ke$ha,0,0,99,0
2013-01-05,2013-01-05,Goodbye In Her Eyes,Zac Brown Band,0,0,51,0
2013-01-05,2013-01-05,Guap,Big Sean,0,0,78,0
2013-01-05,2013-01-05,Rest Of My Life,Ludacris & Usher & David Guetta,1,0,79,0
2013-01-05,2013-01-05,El Cerrito Place,Kenny Chesney,0,0,80,0
2013-01-05,2013-01-05,All Gold Everything,Trinidad James,0,0,81,0
2013-01-05,2013-01-05,Neva End,Future,0,0,82,0
2013-01-05,2013-01-05,Celebration,"Game & Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",1,0,83,0
2013-01-05,2013-01-05,Over You,Cassadee Pope,0,0,84,0
2013-01-05,2013-01-05,Two Black Cadillacs,Carrie Underwood,0,0,85,0
2013-01-05,2013-01-05,Did It For The Girl,Greg Bates,0,0,86,0
2013-01-05,2013-01-05,Turn On The Lights,Future,0,0,87,0
2013-01-05,2013-01-05,Stubborn Love,The Lumineers,0,0,88,0
2013-01-05,2013-01-05,Merry Go 'round,Kacey Musgraves,0,0,89,0
2013-01-05,2013-01-05,The One That Got Away,Jake Owen,0,0,90,0
2013-01-05,2013-01-05,Who Booty,Jonn Hart & IamSU!,1,0,91,0
2013-01-05,2013-01-05,Take A Walk,Passion Pit,0,0,92,0
2013-01-05,2013-01-05,Tip It On Back,Dierks Bentley,0,0,93,0
2013-01-05,2013-01-05,Ready Or Not,Bridgit Mendler,0,0,94,0
2013-01-05,2013-01-05,King Wizard,Kid Cudi,0,0,95,0
2013-01-05,2013-01-05,Ice,Kelly Rowland & Lil Wayne,1,0,96,0
2013-01-05,2013-01-05,Young & Gettin' It,Meek Mill & Kirko Bangz,1,0,97,0
2013-01-05,2013-01-05,Representin',Ludacris & Kelly Rowland,1,0,98,0
2013-01-05,2013-01-05,Diced Pineapples,Rick Ross & Wale & Drake,1,0,77,0
2013-01-05,2013-01-05,Begin Again,Taylor Swift,0,0,76,0
2013-01-05,2013-01-05,Every Storm (Runs Out Of Rain),Gary Allan,0,0,50,0
2013-01-05,2013-01-05,Live While We're Young,One Direction,0,0,74,0
