fecha,posicion,cancion,artista,es_colaboracion
2024-12-26,4,All I Want For Christmas Is You,Mariah Carey,0
2024-12-26,18,Rockin' Around The Christmas Tree,Brenda Lee,0
2024-12-26,32,Last Christmas,Wham!,0
2024-12-26,46,Jingle Bell Rock,Bobby Helms,0
2024-12-26,60,A Holly Jolly Christmas,Burl Ives,0
2024-12-26,74,Die With A Smile,Lady Gaga&Bruno Mars,1
2024-12-26,88,It's The Most Wonderful Time Of The Year,Andy Williams,0
2024-12-26,102,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,0
2024-12-26,116,Santa Tell Me,Ariana Grande,0
2024-12-26,130,Underneath The Tree,Kelly Clarkson,0
2024-12-26,144,Luther,Kendrick Lamar&SZA,1
2024-12-26,158,TV Off,Kendrick LamarFeaturing Lefty Gunplay,1
2024-12-26,172,A Bar Song (Tipsy),Shaboozey,0
2024-12-26,186,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",0
2024-12-26,200,It's Beginning To Look A Lot Like Christmas,Michael Buble,0
2024-12-26,214,Feliz Navidad,Jose Feliciano,0
2024-12-26,228,Sleigh Ride,The Ronettes,0
2024-12-26,242,Birds Of A Feather,Billie Eilish,0
2024-12-26,256,That's So True,Gracie Abrams,0
2024-12-26,270,Squabble Up,Kendrick Lamar,0
2024-12-26,284,Run Rudolph Run,Chuck Berry,0
2024-12-26,298,APT.,ROSE &Bruno Mars,1
2024-12-26,312,Christmas (Baby Please Come Home),Darlene Love,0
2024-12-26,326,It's Beginning To Look A Lot Like Christmas,Perry ComoAnd The Fontane Sisters WithMitchell Ayres And His Orchestra,0
2024-12-26,340,Lose Control,Teddy Swims,0
2024-12-26,354,Taste,Sabrina Carpenter,0
2024-12-26,368,Jingle Bells,Frank SinatraWith The Orchestra & Chorus Of Gordon Jenkins,1
2024-12-26,382,White Christmas (1947),Bing CrosbyWith Ken Darby Singers & John Scott Trotter & His Orchestra,1
2024-12-26,396,I Had Some Help,Post MaloneFeaturingMorgan Wallen,1
2024-12-26,410,Espresso,Sabrina Carpenter,0
2024-12-26,424,Deck The Halls,Nat King Cole,0
2024-12-26,438,Timeless,The Weeknd&Playboi Carti,1
2024-12-26,452,Beautiful Things,Benson Boone,0
2024-12-26,466,Sticky,"Tyler, The CreatorFeaturingGloRilla,Sexyy Red&Lil Wayne",1
2024-12-26,480,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,0
2024-12-26,494,Blue Christmas,Elvis Presley,0
2024-12-26,508,Santa Baby,Eartha KittWith Henri Rene And His Orchestra,0
2024-12-26,522,Love Somebody,Morgan Wallen,0
2024-12-26,536,Wonderful Christmastime,Paul McCartney,0
2024-12-26,550,"Good Luck, Babe!",Chappell Roan,0
2024-12-26,564,Too Sweet,Hozier,0
2024-12-26,578,Not Like Us,Kendrick Lamar,0
2024-12-26,592,Little Saint Nick,The Beach Boys,0
2024-12-26,606,Stargazing,Myles Smith,0
2024-12-26,620,Whatchu Kno About Me,GloRilla&Sexyy Red,1
2024-12-26,634,Christmastime Is Here,Vince Guaraldi Trio,0
2024-12-26,648,Who,Jimin,0
2024-12-26,662,Rudolph The Red-Nosed Reindeer,Gene Autry& The Pinafores,1
2024-12-26,676,Please Come Home For Christmas,Eagles,0
2024-12-26,690,Like It's Christmas,Jonas Brothers,0
2024-12-26,704,High Road,Koe Wetzel&Jessie Murph,1
2024-12-26,718,Sailor Song,Gigi Perez,0
2024-12-26,732,I Am Not Okay,Jelly Roll,0
