fecha,titulo,ranking_real,ranking_pred,V,prob_rank1
2013-03-02,Harlem Shake,1,48,2.132565,0.017219
2013-03-02,Thrift Shop,2,1,2.345107,0.021296
2013-03-02,Stay,3,46,2.226576,0.018916
2013-03-02,Scream & Shout,4,2,2.345107,0.021296
2013-03-02,I Knew You Were Trouble.,5,28,2.276043,0.019875
2013-03-02,Ho Hey,6,30,2.276043,0.019875
2013-03-02,Locked Out Of Heaven,7,32,2.276043,0.019875
2013-03-02,When I Was Your Man,8,31,2.276043,0.019875
2013-03-02,Suit & Tie,9,13,2.30471,0.020453
2013-03-02,Started From The Bottom,10,47,2.173411,0.017936
2013-03-02,Don't You Worry Child,11,3,2.345107,0.021296
2013-03-02,I Will Wait,12,7,2.345107,0.021296
2013-03-02,Daylight,13,29,2.276043,0.019875
2013-03-02,Girl On Fire,14,5,2.345107,0.021296
2013-03-02,F**kin Problems,15,6,2.345107,0.021296
2013-03-02,Beauty And A Beat,16,4,2.345107,0.021296
2013-03-02,Sweet Nothing,17,8,2.345107,0.021296
2013-03-02,Try,18,20,2.276043,0.019875
2013-03-02,Love Me,19,15,2.295203,0.020259
2013-03-02,Carry On,20,43,2.258131,0.019522
2013-03-02,Diamonds,21,24,2.276043,0.019875
2013-03-02,Pour It Up,22,44,2.258131,0.019522
2013-03-02,It's Time,23,21,2.276043,0.019875
2013-03-02,Mirrors,24,49,2.132565,0.017219
2013-03-02,Catch My Breath,25,23,2.276043,0.019875
2013-03-02,Gangnam Style,26,26,2.276043,0.019875
2013-03-02,Adorn,27,22,2.276043,0.019875
2013-03-02,Some Nights,28,17,2.276043,0.019875
2013-03-02,Wanted,29,18,2.276043,0.019875
2013-03-02,Home,30,19,2.276043,0.019875
2013-03-02,Little Talks,31,9,2.345107,0.021296
2013-03-02,The A Team,32,25,2.276043,0.019875
2013-03-02,Hall Of Fame,33,12,2.345107,0.021296
2013-03-02,One More Night,34,39,2.276043,0.019875
2013-03-02,C'mon,35,42,2.276043,0.019875
2013-03-02,Somebody That I Used To Know,36,11,2.345107,0.021296
2013-03-02,Radioactive,37,27,2.276043,0.019875
2013-03-02,Sure Be Cool If You Did,38,45,2.244316,0.019254
2013-03-02,Better Dig Two,39,40,2.276043,0.019875
2013-03-02,I'm Different,40,34,2.276043,0.019875
2013-03-02,Two Black Cadillacs,41,36,2.276043,0.019875
2013-03-02,Swimming Pools (Drank),42,35,2.276043,0.019875
2013-03-02,One Of Those Nights,43,33,2.276043,0.019875
2013-03-02,Troublemaker,44,14,2.295203,0.020259
2013-03-02,One Way Or Another (Teenage Kicks),45,50,2.132565,0.017219
2013-03-02,All Gold Everything,46,38,2.276043,0.019875
2013-03-02,Feel This Moment,47,16,2.278158,0.019917
2013-03-02,I Cry,48,37,2.276043,0.019875
2013-03-02,Poetic Justice,49,10,2.345107,0.021296
2013-03-02,Die Young,50,41,2.276043,0.019875
2013-03-09,Harlem Shake,1,49,2.167784,0.017715
2013-03-09,Thrift Shop,2,1,2.352175,0.021302
2013-03-09,When I Was Your Man,3,32,2.28286,0.019876
2013-03-09,I Knew You Were Trouble.,4,21,2.28286,0.019876
2013-03-09,Scream & Shout,5,2,2.352175,0.021302
2013-03-09,Started From The Bottom,6,47,2.196612,0.018233
2013-03-09,Stay,7,45,2.253139,0.019294
2013-03-09,Suit & Tie,8,12,2.316714,0.02056
2013-03-09,Locked Out Of Heaven,9,16,2.28286,0.019876
2013-03-09,Love Me,10,14,2.309538,0.020413
2013-03-09,Ho Hey,11,31,2.28286,0.019876
2013-03-09,Don't You Worry Child,12,4,2.352175,0.021302
2013-03-09,One Way Or Another (Teenage Kicks),13,48,2.173411,0.017815
2013-03-09,Daylight,14,22,2.28286,0.019876
2013-03-09,F**kin Problems,15,5,2.352175,0.021302
2013-03-09,Girl On Fire,16,3,2.352175,0.021302
2013-03-09,Sweet Nothing,17,8,2.352175,0.021302
2013-03-09,Beauty And A Beat,18,7,2.352175,0.021302
2013-03-09,I Will Wait,19,6,2.352175,0.021302
2013-03-09,Try,20,24,2.28286,0.019876
2013-03-09,Pour It Up,21,42,2.267884,0.01958
